element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,property 1,property 2,property 3,property 4,property 5,property 6
,0.0005004003202562,0.0010008006405124,0.0005004003202562,0.0012009607686148,0.0200160128102482,0.0,0.0,,,0.0015012009607686,,-0.1082559783834249,-0.9350626956098712,-0.6738905675017,-0.9276745099016832,0.0227951203001682,-0.6973217824585469
0.7555809959931311,0.1192520511352795,0.0047700820454111,0.0906315588628124,,0.0238504102270559,0.0003816065636328,0.0004770082045411,0.0002862049227246,0.0,0.0,0.0,0.0774212952109255,0.7600933188029124,0.7790918916717966,0.600222754687714,,-0.9523557476772888
0.9765007898894156,0.0029620853080568,0.0108609794628751,0.0,0.0029620853080568,,0.000246840442338,,0.000246840442338,0.0,0.0,0.0,-0.1082559783834249,1.260271373319207,0.8389960978846797,1.367936822106945,0.0281995916677117,-1.2073897128960305
0.6477078181472322,0.1759558683659882,0.1474224843066387,,0.0095111280197831,0.0,0.0005706676811869,0.0023777820049457,0.0002853338405934,0.0,,,,0.5901788786205024,,0.2702241251683545,,
0.0068192888455918,0.0019483682415976,0.0077934729663906,0.0,0.0058451047247929,,0.0,0.0,0.0,0.0038967364831953,0.0014612761811982,0.9693132001948368,-0.1082559783834249,-1.0736487288321217,-0.3204194559681557,-0.9144217105234655,0.0227917733954359,
0.968717465668534,0.0059491348966337,,0.006940657379406,0.003470328689703,0.0,0.0003470328689703,0.0042635466759208,0.0003966089931089,0.0,0.0,,-0.0995960260433996,1.2414958896122064,0.8371270587374046,1.34446173036204,-0.0035965195061774,
0.9710754017305314,,0.0088998763906056,0.0,0.0029666254635352,0.0024721878862793,0.0002472187886279,,0.0003955500618046,0.0,0.0,0.0,-0.1082559783834249,1.2470462046037816,0.8376948597665039,,0.0272276201436641,-0.3822798254236308
,0.0,0.0034146341463414,0.0,0.073170731707317,0.0024390243902439,0.0,,0.0,0.0034146341463414,0.0014634146341463,0.9102439024390244,-0.1082559783834249,,-0.3560800294230625,-0.7250539456154222,0.0227889767708445,
0.8332513526807672,,0.0088539104771273,0.0295130349237579,0.0034431874077717,0.0,0.0002459419576979,0.0014756517461878,0.0002459419576979,0.0,0.0,0.0,-0.0781242597149661,0.9209301274391573,0.8019448708104027,0.875941608274571,0.0011067490890167,0.067780113197678
0.9558205115519716,0.0277049423638252,,0.0,0.0059367733636768,0.0,0.0003463117795478,0.0019789244545589,,0.0,0.0,0.0,-0.1082559783834249,1.210054498737619,,1.3094389244634446,,0.5178400518189868
0.0067567567567567,0.0009652509652509,0.0115830115830115,0.0,0.0115830115830115,,0.0,0.0,0.0,0.0024131274131274,0.0014478764478764,0.916988416988417,,-0.9545989970795395,-0.3225709773236422,-0.8982031201842725,,
0.9734118928553744,0.0,0.0178244293706986,0.0,,0.0,0.0001980492152299,0.0024756151903748,,0.0,0.0,0.0,-0.1082559783834249,1.2531528166820172,0.838256138425846,1.3667528107891491,0.0275957864794305,
0.972710025781972,0.0,,0.0048645230335165,0.0048645230335165,,0.0002432261516758,0.0013620664493846,9.729046067033128e-05,0.0,0.0,0.0002918713820109,-0.0993161055281505,1.2513375386091266,0.8380876755777301,1.3613804034515764,-0.0085331263155425,0.6678600313594232
,0.1536098310291858,0.0096006144393241,0.0739247311827957,0.0096006144393241,0.0,0.0003840245775729,0.0008640552995391,,,,0.0144009216589861,0.0437320951235345,0.7189441155312147,0.7733802456823933,,-0.0624005942275183,-0.5247988059870453
,0.0,0.0,,0.0,0.9972037190536588,0.0007989374132403,0.0,0.0,0.0,0.0019973435331009,0.0,-0.1082559783834249,-1.141404607500234,-2.9199133969495312,-0.9310554969952332,0.0228102035827437,-0.8323397640449397
0.6881541168843197,,0.06020190793739,0.06020190793739,,0.0,0.000555709919422,0.0007409465592294,,0.0,0.0,0.0,0.1212764353413844,,0.7572605274240909,0.3810087254025993,-0.0993046750919914,2.243069816534004
0.0217391304347826,0.0,0.0130434782608695,,0.0434782608695652,0.8608695652173913,0.0043478260869565,,0.0,0.0434782608695652,0.0,,,-0.8284992769621625,-0.0496476784210169,-0.8072907631009877,0.0227747765362677,
0.9672309672309672,0.0118800118800118,,0.0,0.0039600039600039,0.0,0.0002475002475002,,0.0002475002475002,0.0,0.0,0.0,-0.1082559783834249,1.2378908423100257,0.8367683928671278,1.3410785880539091,0.0267334284655005,0.2928100825083324
0.6653876748865285,0.2479996256609424,0.0187169528800711,,0.0140377146600533,0.0,0.0003743390576014,0.0018716952880071,,0.0,0.0,0.0,0.0413969070387834,,,0.3122039006103024,-0.0589169513232794,0.1427901029678961
,0.24807976718668,0.01908305901436,0.06201994179667,0.00954152950718,0.0,0.0004293688278231,0.0002862458852153,,0.0,0.0,0.0,0.046444010407434,0.5419801780005823,0.7476011201392053,0.2823597497281595,-0.0618987534189541,0.8928900006700776
0.0,0.0,0.0,0.0,0.0,0.9990007294674887,0.0,0.0,0.0,0.0,0.0009992705325112,0.0,-0.1082559783834249,-1.1458315749448067,,-0.9310554969952332,0.0228102309797495,2.5431097756148766
0.0009727626459143,0.0,0.0,0.0116731517509727,0.0,0.8803501945525292,0.0009727626459143,,0.0,,0.0038910505836575,0.0,0.0197325752181869,,-0.7752171398800484,-0.9310528391276514,0.0384405158059601,-0.3822798254236308
0.9715757251834216,,0.0165200913463874,0.0048588503959963,0.0048588503959963,0.0,0.0001943540158398,0.0015548321267188,4.8588503959963065e-05,0.0,0.0,0.0003887080316797,-0.0999663235796931,1.248655511047544,0.837815162460104,1.3577793552511808,-0.0047816863636875,0.4428300620487687
0.824503949142747,0.1444808322095935,0.0096320554806395,0.0081872471585436,0.0096320554806395,,0.0003852822192255,0.0028896166441918,,0.0,0.0,0.0,-0.0914591776538137,0.8970612510007502,,0.861856775568399,0.0115914300929079,
,,0.0060174506067596,0.0030087253033798,0.0060174506067596,0.0025072710861498,0.0003008725303379,0.0250727108614983,0.0003008725303379,0.0,0.0,0.0,-0.1045016197517614,,0.7985940461062557,0.8403766322224301,0.0210774040176459,
0.9046290058704648,0.0009623712828409,0.0038494851313636,0.0192474256568184,0.0259840246367048,,0.0003849485131363,0.0365701087479549,0.0001924742565681,0.0,0.0,0.0004811856414204,-0.0575846483964832,1.092139509265762,0.821140663877253,1.192444403470212,-0.037151447696481,-1.0798727302866595
0.9736494744561232,0.0029332681495966,0.0117330725983867,0.0029332681495966,0.0034221461745294,0.0029332681495966,0.0002444390124663,0.0014666340747983,,0.0,0.0,0.0005866536299193,-0.1028385122854146,1.2534447317207158,0.8383131354867643,1.3601816807770897,0.0050500040054948,0.8178800108998594
,,0.0,0.0,0.0,0.99995000199992,4.9998000079996805e-05,,0.0,0.0,0.0,,-0.1082559783834249,-1.1481722033731891,-2.9199133969495312,,0.0228102453854768,0.4428300620487687
0.5891472868217055,0.1879257693211181,0.0093962884660559,0.197322057787174,0.0093962884660559,,,0.0007517030772844,0.0001409443269908,0.0,0.0,0.0056377730796335,0.2874272250085656,0.4211110422189288,0.7209808777287183,,-0.2142776320092722,
,0.0068671212046892,,0.0068671212046892,0.0039240692598224,0.0029430519448668,,0.0022563398243979,0.0002943051944866,,0.0,0.0004905086574778,,1.235727022234165,0.8365439828144641,1.337949084232843,0.007897339760099,-1.2073897128960305
